title,author,summary,goodreads_rating,amazon_link,cover_image,difficulty_level,tags,industry_focus,learning_style
"Inspired: How To Create Products Customers Love","Marty Cagan","A practical guide for product managers to build products that customers love, based on lessons from top tech companies.",4.21,"https://www.amazon.com/dp/1119387507","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",beginner,"fundamentals, product management, customer development, strategy","B2B, B2C, SaaS","practical, case_studies"
"The Mom Test: How to talk to customers & learn if your business is a good idea when everyone is lying to you","Rob Fitzpatrick","A short book that teaches founders and product managers how to talk to customers without bias and extract honest feedback.",4.36,"https://www.amazon.com/dp/1492180742","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",beginner,"customer development, interviews, validation, research","B2B, B2C, SaaS","practical, case_studies"
"Hooked: How to Build Habit-Forming Products","Nir Eyal","A behavioral design playbook that explains how to build habit-forming products using a four-step hook model.",4.07,"https://www.amazon.com/dp/1591847788","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"psychology, engagement, habits, user behavior","B2C, mobile, social","theoretical, practical"
"The Design of Everyday Things","Don Norman","A foundational book on design thinking and user experience principles that every product manager should understand.",4.2,"https://www.amazon.com/dp/0465050654","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",beginner,"design, ux, user experience, design thinking","general","theoretical"
"Product-Led Growth: How to Build a Product That Sells Itself","Wes Bush","A comprehensive guide to building products that drive their own growth through user experience and product-led strategies.",4.3,"https://www.amazon.com/dp/1736096802","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"growth, product-led, strategy, saas","SaaS, B2B","practical, case_studies"
"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs","John Doerr","A guide to OKRs (Objectives and Key Results) for goal setting and measurement in product teams.",4.0,"https://www.amazon.com/dp/0525536221","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"okrs, goals, measurement, strategy","general","practical"
"Lean Analytics: Use Data to Build a Better Startup Faster","Alistair Croll, Benjamin Yoskovitz","A practical guide to using analytics and metrics to make better product decisions and drive growth.",4.1,"https://www.amazon.com/dp/1449335675","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"analytics, metrics, data, growth","SaaS, startup","practical, case_studies"
"Running Lean: Iterate from Plan A to a Plan That Works","Ash Maurya","A systematic approach to building and validating products using lean startup principles.",4.1,"https://www.amazon.com/dp/1449305171","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",beginner,"lean startup, validation, iteration, business model","startup, general","practical, case_studies"
"The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses","Eric Ries","The foundational book on lean startup methodology and continuous innovation for product development.",4.1,"https://www.amazon.com/dp/0307887898","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",beginner,"lean startup, innovation, entrepreneurship, validation","startup, general","theoretical, practical"
"User Story Mapping: Discover the Whole Story, Build the Right Product","Jeff Patton","A practical guide to user story mapping for better product discovery and development planning.",4.2,"https://www.amazon.com/dp/1491904909","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"user stories, discovery, planning, agile","general","practical, case_studies"
"Continuous Discovery Habits: Discover Products that Create Customer Value and Business Value","Teresa Torres","A framework for continuous product discovery that helps teams make better product decisions.",4.4,"https://www.amazon.com/dp/1736633309","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"discovery, research, customer value, decision making","general","practical, theoretical"
"Outcomes Over Output: Why Customer Behavior Is the Key Metric for Business Success","Josh Seiden","A guide to focusing on customer outcomes rather than output metrics for better product decisions.",4.2,"https://www.amazon.com/dp/1942788203","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"outcomes, metrics, customer behavior, success","general","practical, theoretical"
"Escaping the Build Trap: How Effective Product Management Creates Real Value","Melissa Perri","A guide to moving beyond feature delivery to creating real customer and business value.",4.3,"https://www.amazon.com/dp/149197379X","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"value creation, strategy, product management, outcomes","general","practical, case_studies"
"Product Roadmaps Relaunched: How to Set Direction while Embracing Uncertainty","C. Todd Lombardo, Bruce McCarthy, Evan Ryan, Michael Connors","A comprehensive guide to creating effective product roadmaps that balance direction with flexibility.",4.1,"https://www.amazon.com/dp/149197172X","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"roadmaps, planning, strategy, uncertainty","general","practical, case_studies"
"The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers","Ben Horowitz","Insights on leadership and decision-making in product management from a successful entrepreneur and investor.",4.2,"https://www.amazon.com/dp/0062273205","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"leadership, decision making, entrepreneurship, management","general","case_studies, theoretical"
"Good to Great: Why Some Companies Make the Leap...And Others Don't","Jim Collins","Research-based insights on what makes companies successful, with lessons for product strategy and leadership.",4.1,"https://www.amazon.com/dp/0066620996","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"leadership, strategy, organizational excellence, research","general","theoretical, case_studies"
"Thinking, Fast and Slow","Daniel Kahneman","A deep dive into human decision-making and cognitive biases that affect product decisions and user behavior.",4.2,"https://www.amazon.com/dp/0374533555","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"psychology, decision making, cognitive biases, user behavior","general","theoretical"
"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability","Steve Krug","A practical guide to web usability and user experience design principles.",4.2,"https://www.amazon.com/dp/0321965515","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",beginner,"usability, ux, web design, user experience","web, general","practical, case_studies"
"About Face: The Essentials of Interaction Design","Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel","A comprehensive guide to interaction design principles and user-centered design.",4.1,"https://www.amazon.com/dp/1118766571","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"interaction design, ux, user-centered design","general","theoretical, practical"
"Information Architecture: For the Web and Beyond","Louis Rosenfeld, Peter Morville, Jorge Arango","A guide to organizing and structuring information for better user experience and findability.",4.1,"https://www.amazon.com/dp/1491911689","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"information architecture, organization, structure, ux","web, general","theoretical, practical"
"Don't Make Me Think: A Common Sense Approach to Web Usability","Steve Krug","A classic guide to web usability that teaches how to create intuitive user experiences.",4.2,"https://www.amazon.com/dp/0321344758","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",beginner,"usability, web design, user experience, common sense","web, general","practical, case_studies"
"Rocket Surgery Made Easy: The Do-It-Yourself Guide to Finding and Fixing Usability Problems","Steve Krug","A practical guide to conducting usability testing and fixing common user experience problems.",4.1,"https://www.amazon.com/dp/0321657292","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",beginner,"usability testing, user research, problem solving","general","practical, case_studies"
"Just Enough Research","Erika Hall","A practical guide to user research methods and when to use them in product development.",4.2,"https://www.amazon.com/dp/1937557103","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",beginner,"user research, research methods, discovery","general","practical, case_studies"
"Interviewing Users: How to Uncover Compelling Insights","Steve Portigal","A comprehensive guide to conducting effective user interviews for product research and discovery.",4.2,"https://www.amazon.com/dp/193382011X","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"user interviews, research, insights, discovery","general","practical, case_studies"
"Remote Research: Real Users, Real Time, Real Research","Nate Bolt, Tony Tulathimutte","A guide to conducting user research remotely, including tools and best practices.",4.0,"https://www.amazon.com/dp/1933820934","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"remote research, user research, tools, best practices","general","practical, case_studies"
"Quantifying the User Experience: Practical Statistics for User Research","Jeff Sauro, James R. Lewis","A guide to statistical analysis for user research and A/B testing in product development.",4.1,"https://www.amazon.com/dp/0123849683","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",advanced,"statistics, user research, a/b testing, analytics","general","theoretical, practical"
"Designing with Data: Improving the User Experience with A/B Testing","Rochelle King, Elizabeth F. Churchill, Caitlin Tan","A guide to using A/B testing and data to improve user experience and product design.",4.0,"https://www.amazon.com/dp/1449334830","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"a/b testing, data, user experience, design","general","practical, case_studies"
"Experimentation Works: The Surprising Power of Business Experiments","Stefan H. Thomke","A guide to using experimentation and A/B testing to make better business and product decisions.",4.1,"https://www.amazon.com/dp/1633696298","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"experimentation, a/b testing, business decisions","general","practical, case_studies"
"Testing Business Ideas: A Field Guide for Rapid Experimentation","David J. Bland, Alexander Osterwalder","A practical guide to testing business ideas and product concepts through rapid experimentation.",4.2,"https://www.amazon.com/dp/1119551447","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328831036i/840.jpg",intermediate,"experimentation, business ideas, validation, testing","startup, general","practical, case_studies"
